draft_model,prefill,budget,acceptance_rate,avg_accepted_tokens
1.1b,1000,-1.0,0.5833333333333334,2.3333333333333335
1.1b,1000,-1.0,0.5,2.0
1.1b,2000,-1.0,0.42333333333333334,1.6933333333333334
1.1b,2000,-1.0,0.30494505494505497,1.2197802197802199
1.1b,3000,-1.0,0.3734567901234568,1.4938271604938271
1.1b,3000,-1.0,0.4090909090909091,1.6363636363636365
1.1b,4000,-1.0,0.32386363636363635,1.2954545454545454
1.1b,4000,-1.0,0.34523809523809523,1.380952380952381
1.1b,1000,-1.0,0.5875,2.35
1.1b,1000,-1.0,0.5819672131147541,2.3278688524590163
1.1b,1000,-1.0,0.5645161290322581,2.2580645161290325
1.1b,1000,-1.0,0.42567567567567566,1.7027027027027026
1.1b,1000,-1.0,0.46785714285714286,1.8714285714285714
7b,1000,0.1,0.4889705882352941,1.9558823529411764
1.1b,1000,-1.0,0.5515873015873016,2.2063492063492065
1.1b,1000,-1.0,0.45422535211267606,1.8169014084507042
7b,1000,0.1,0.37037037037037035,1.4814814814814814
1.1b,1000,-1.0,0.4746376811594203,1.8985507246376812
7b,1000,0.1,0.4642857142857143,1.8571428571428572
1.1b,1000,-1.0,0.5833333333333334,2.3333333333333335
1.1b,1000,-1.0,0.936046511627907,3.744186046511628
7b,1000,0.1,0.3482142857142857,1.3928571428571428
1.1b,1000,-1.0,0.4746376811594203,1.8985507246376812
7b,1000,0.1,0.4785714285714286,1.9142857142857144
1.1b,1000,-1.0,0.5725806451612904,2.2903225806451615
7b,1000,0.1,0.5476190476190477,2.1904761904761907
1.1b,1000,-1.0,0.46830985915492956,1.8732394366197183
1.1b,1000,-1.0,0.5833333333333334,2.3333333333333335
7b,1000,0.1,0.42567567567567566,1.7027027027027026
1.1b,1000,-1.0,0.6163793103448276,2.4655172413793105
7b,1000,0.1,0.3765432098765432,1.5061728395061729
1.1b,1000,-1.0,0.5230769230769231,2.0923076923076924
1.1b,1000,-1.0,0.6898148148148148,2.759259259259259
7b,1000,0.1,0.4647887323943662,1.8591549295774648
1.1b,1000,-1.0,0.4358108108108108,1.7432432432432432
7b,1000,0.1,0.35119047619047616,1.4047619047619047
1.1b,1000,-1.0,0.5476190476190477,2.1904761904761907
7b,1000,0.1,0.4852941176470588,1.9411764705882353
1.1b,1000,-1.0,0.4513888888888889,1.8055555555555556
1.1b,1000,-1.0,0.5916666666666667,2.3666666666666667
7b,1000,0.1,0.4358108108108108,1.7432432432432432
1.1b,1000,-1.0,0.4889705882352941,1.9558823529411764
7b,1000,0.1,0.5075757575757576,2.0303030303030303
1.1b,1000,-1.0,0.7352941176470589,2.9411764705882355
1.1b,1000,-1.0,0.5595238095238095,2.238095238095238
7b,1000,0.1,0.4025974025974026,1.6103896103896105
1.1b,1000,-1.0,0.5685483870967742,2.274193548387097
7b,1000,0.1,0.37037037037037035,1.4814814814814814
1.1b,1000,-1.0,0.4852941176470588,1.9411764705882353
1.1b,1000,-1.0,0.45774647887323944,1.8309859154929577
7b,1000,0.1,0.34705882352941175,1.388235294117647
1.1b,1000,-1.0,0.7908163265306123,3.163265306122449
7b,1000,0.1,0.4855072463768116,1.9420289855072463
1.1b,1000,-1.0,0.5436507936507936,2.1746031746031744
7b,1000,0.1,0.4349315068493151,1.7397260273972603
1.1b,1000,-1.0,0.4025974025974026,1.6103896103896105
1.1b,1000,-1.0,0.5075757575757576,2.0303030303030303
7b,1000,0.1,0.48188405797101447,1.9275362318840579
1.1b,1000,-1.0,0.4612676056338028,1.8450704225352113
7b,1000,0.1,0.4852941176470588,1.9411764705882353
1.1b,1000,-1.0,0.5269230769230769,2.1076923076923078
7b,1000,0.1,0.3597560975609756,1.4390243902439024
1.1b,1000,-1.0,0.41233766233766234,1.6493506493506493
7b,1000,0.1,0.4642857142857143,1.8571428571428572
1.1b,1000,-1.0,0.5113636363636364,2.0454545454545454
1.1b,1000,-1.0,0.8586956521739131,3.4347826086956523
7b,1000,0.1,0.5564516129032258,2.225806451612903
1.1b,1000,-1.0,0.5860655737704918,2.3442622950819674
7b,1000,0.1,0.45422535211267606,1.8169014084507042
1.1b,1000,-1.0,0.5645161290322581,2.2580645161290325
1.1b,1000,-1.0,0.5555555555555556,2.2222222222222223
7b,1000,0.1,0.5685483870967742,2.274193548387097
1.1b,1000,-1.0,0.5346153846153846,2.1384615384615384
7b,1000,0.1,0.4746376811594203,1.8985507246376812
1.1b,1000,-1.0,0.6120689655172413,2.4482758620689653
7b,1000,0.1,0.5645161290322581,2.2580645161290325
1.1b,1000,-1.0,0.5075757575757576,2.0303030303030303
7b,1000,0.1,0.7401960784313726,2.9607843137254903
1.1b,1000,-1.0,0.5192307692307693,2.076923076923077
7b,1000,0.1,0.5227272727272727,2.090909090909091
1.1b,1000,-1.0,0.43,1.72
1.1b,1000,-1.0,0.4479166666666667,1.7916666666666667
7b,1000,0.1,0.4025974025974026,1.6103896103896105
1.1b,1000,-1.0,0.6981132075471698,2.792452830188679
7b,1000,0.1,0.41776315789473684,1.6710526315789473
1.1b,1000,-1.0,0.53125,2.125
1.1b,1000,-1.0,0.4852941176470588,1.9411764705882353
7b,1000,0.1,0.4782608695652174,1.9130434782608696
1.1b,1000,-1.0,0.5778688524590164,2.3114754098360657
7b,1000,0.1,0.43243243243243246,1.7297297297297298
1.1b,1000,-1.0,0.6359649122807017,2.543859649122807
1.1b,1000,-1.0,0.8532608695652174,3.4130434782608696
7b,1000,0.1,0.45422535211267606,1.8169014084507042
1.1b,1000,-1.0,0.5436507936507936,2.1746031746031744
7b,1000,0.1,0.5269230769230769,2.1076923076923078
1.1b,1000,-1.0,0.5230769230769231,2.0923076923076924
7b,1000,0.1,0.391025641025641,1.564102564102564
1.1b,1000,-1.0,0.4642857142857143,1.8571428571428572
1.1b,1000,-1.0,0.5111940298507462,2.044776119402985
7b,1000,0.1,0.5476190476190477,2.1904761904761907
1.1b,1000,-1.0,0.6590909090909091,2.6363636363636362
7b,1000,0.1,0.5860655737704918,2.3442622950819674
1.1b,1000,-1.0,0.6,2.4
1.1b,1000,-1.0,0.5476190476190477,2.1904761904761907
7b,1000,0.1,0.32386363636363635,1.2954545454545454
1.1b,1000,-1.0,0.8478260869565217,3.391304347826087
7b,1000,0.1,0.4548611111111111,1.8194444444444444
1.1b,1000,-1.0,0.5875,2.35
7b,1000,0.1,0.7028301886792453,2.811320754716981
1.1b,1000,-1.0,0.40789473684210525,1.631578947368421
1.1b,1000,-1.0,0.7352941176470589,2.9411764705882355
7b,1000,0.1,0.4746376811594203,1.8985507246376812
1.1b,1000,-1.0,0.4383561643835616,1.7534246575342465
7b,1000,0.1,0.4962686567164179,1.9850746268656716
1.1b,1000,-1.0,0.4358108108108108,1.7432432432432432
1.1b,1000,-1.0,0.8125,3.25
7b,1000,0.1,0.2602040816326531,1.0408163265306123
1.1b,1000,-1.0,0.4855072463768116,1.9420289855072463
7b,1000,0.1,0.4479166666666667,1.7916666666666667
1.1b,1000,-1.0,0.6759259259259259,2.7037037037037037
7b,1000,0.1,0.5819672131147541,2.3278688524590163
1.1b,1000,-1.0,0.6359649122807017,2.543859649122807
1.1b,1000,-1.0,0.5,2.0
7b,1000,0.1,0.41118421052631576,1.644736842105263
1.1b,1000,-1.0,0.5436507936507936,2.1746031746031744
7b,1000,0.1,0.4642857142857143,1.8571428571428572
1.1b,1000,-1.0,0.7401960784313726,2.9607843137254903
1.1b,1000,-1.0,0.4855072463768116,1.9420289855072463
7b,1000,0.1,0.5230769230769231,2.0923076923076924
1.1b,1000,-1.0,0.6607142857142857,2.642857142857143
7b,1000,0.1,0.6636363636363637,2.6545454545454548
1.1b,1000,-1.0,0.6163793103448276,2.4655172413793105
7b,1000,0.1,0.5645161290322581,2.2580645161290325
1.1b,1000,-1.0,0.569672131147541,2.278688524590164
7b,1000,0.1,0.4479166666666667,1.7916666666666667
1.1b,1000,-1.0,0.48188405797101447,1.9275362318840579
1.1b,1000,-1.0,0.6101694915254238,2.440677966101695
7b,1000,0.1,0.5595238095238095,2.238095238095238
1.1b,1000,-1.0,0.824468085106383,3.297872340425532
7b,1000,0.1,0.597457627118644,2.389830508474576
1.1b,1000,-1.0,0.4962686567164179,1.9850746268656716
7b,1000,0.1,0.4349315068493151,1.7397260273972603
1.1b,1000,-1.0,0.5604838709677419,2.2419354838709675
1.1b,1000,-1.0,0.4889705882352941,1.9558823529411764
7b,1000,0.1,0.4349315068493151,1.7397260273972603
1.1b,1000,-1.0,0.6359649122807017,2.543859649122807
1.1b,1000,-1.0,0.6727272727272727,2.690909090909091
7b,1000,0.1,0.2602040816326531,1.0408163265306123
1.1b,1000,-1.0,0.48188405797101447,1.9275362318840579
7b,1000,0.1,0.4548611111111111,1.8194444444444444
1.1b,1000,-1.0,0.569672131147541,2.278688524590164
7b,1000,0.1,0.6271929824561403,2.508771929824561
1.1b,1000,-1.0,0.6805555555555556,2.7222222222222223
1.1b,1000,-1.0,0.4782608695652174,1.9130434782608696
7b,1000,0.1,0.46785714285714286,1.8714285714285714
1.1b,1000,-1.0,0.597457627118644,2.389830508474576
7b,1000,0.1,0.4962686567164179,1.9850746268656716
1.1b,1000,-1.0,0.5778688524590164,2.3114754098360657
1.1b,1000,-1.0,0.842391304347826,3.369565217391304
7b,1000,0.1,0.5436507936507936,2.1746031746031744
1.1b,1000,-1.0,0.5436507936507936,2.1746031746031744
7b,1000,0.1,0.4855072463768116,1.9420289855072463
1.1b,1000,-1.0,0.4889705882352941,1.9558823529411764
1.1b,1000,-1.0,0.6120689655172413,2.4482758620689653
7b,1000,0.1,0.3628048780487805,1.451219512195122
1.1b,1000,-1.0,0.4962686567164179,1.9850746268656716
7b,1000,0.1,0.8611111111111112,3.4444444444444446
1.1b,1000,-1.0,0.6101694915254238,2.440677966101695
7b,1000,0.1,0.4444444444444444,1.7777777777777777
1.1b,1000,-1.0,0.5555555555555556,2.2222222222222223
7b,1000,0.1,0.4144736842105263,1.6578947368421053
1.1b,1000,-1.0,0.4962686567164179,1.9850746268656716
1.1b,1000,-1.0,0.569672131147541,2.278688524590164
7b,1000,0.1,0.28191489361702127,1.127659574468085
1.1b,1000,-1.0,0.5111940298507462,2.044776119402985
1.1b,1000,-1.0,0.5230769230769231,2.0923076923076924
7b,1000,0.1,0.41233766233766234,1.6493506493506493
1.1b,1000,-1.0,0.755,3.02
7b,1000,0.1,0.4714285714285714,1.8857142857142857
1.1b,1000,-1.0,0.45774647887323944,1.8309859154929577
7b,1000,0.1,0.4855072463768116,1.9420289855072463
1.1b,1000,-1.0,0.54296875,2.171875
1.1b,1000,-1.0,0.5227272727272727,2.090909090909091
7b,1000,0.1,0.3482142857142857,1.3928571428571428
1.1b,1000,-1.0,0.42105263157894735,1.6842105263157894
7b,1000,0.1,0.4144736842105263,1.6578947368421053
1.1b,1000,-1.0,0.4963235294117647,1.9852941176470589
7b,1000,0.1,0.5189393939393939,2.0757575757575757
1.1b,1000,-1.0,0.4444444444444444,1.7777777777777777
7b,1000,0.1,0.7755102040816326,3.1020408163265305
1.1b,1000,-1.0,0.49264705882352944,1.9705882352941178
7b,1000,0.1,0.4855072463768116,1.9420289855072463
1.1b,1000,-1.0,0.569672131147541,2.278688524590164
1.1b,1000,-1.0,0.8191489361702128,3.276595744680851
7b,1000,0.1,0.6016949152542372,2.406779661016949
1.1b,1000,-1.0,0.5192307692307693,2.076923076923077
7b,1000,0.1,0.4889705882352941,1.9558823529411764
1.1b,1000,-1.0,0.5645161290322581,2.2580645161290325
1.1b,1000,-1.0,0.6981132075471698,2.792452830188679
7b,1000,0.1,0.4714285714285714,1.8857142857142857
1.1b,1000,-1.0,0.5151515151515151,2.0606060606060606
7b,1000,0.1,0.3829113924050633,1.5316455696202531
1.1b,1000,-1.0,0.4963235294117647,1.9852941176470589
7b,1000,0.1,0.5192307692307693,2.076923076923077
1.1b,1000,-1.0,0.5819672131147541,2.3278688524590163
1.1b,1000,-1.0,0.6759259259259259,2.7037037037037037
7b,1000,0.1,0.31179775280898875,1.247191011235955
1.1b,1000,-1.0,0.4144736842105263,1.6578947368421053
7b,1000,0.1,0.54296875,2.171875
1.1b,1000,-1.0,0.5269230769230769,2.1076923076923078
7b,1000,0.1,0.40384615384615385,1.6153846153846154
1.1b,1000,-1.0,0.4513888888888889,1.8055555555555556
1.1b,1000,-1.0,0.4583333333333333,1.8333333333333333
7b,1000,0.1,0.4963235294117647,1.9852941176470589
1.1b,1000,-1.0,0.45422535211267606,1.8169014084507042
7b,1000,0.1,0.5725806451612904,2.2903225806451615
7b,1000,0.1,0.42567567567567566,1.7027027027027026
7b,1000,0.1,0.6473214285714286,2.5892857142857144
7b,1000,0.1,0.5476190476190477,2.1904761904761907
7b,1000,0.1,0.5604838709677419,2.2419354838709675
7b,1000,0.1,0.5111940298507462,2.044776119402985
7b,1000,0.1,0.37037037037037035,1.4814814814814814
7b,1000,0.1,0.40789473684210525,1.631578947368421
7b,1000,0.1,0.5645161290322581,2.2580645161290325
7b,1000,0.1,0.384375,1.5375
1.1b,2000,-1.0,0.41118421052631576,1.644736842105263
7b,1000,0.1,0.35240963855421686,1.4096385542168675
1.1b,2000,-1.0,0.3313953488372093,1.3255813953488371
7b,1000,0.1,0.3482142857142857,1.3928571428571428
1.1b,2000,-1.0,0.38924050632911394,1.5569620253164558
7b,1000,0.1,0.4452054794520548,1.7808219178082192
1.1b,2000,-1.0,0.5075757575757576,2.0303030303030303
7b,1000,0.1,0.5269230769230769,2.1076923076923078
1.1b,2000,-1.0,0.34705882352941175,1.388235294117647
1.1b,2000,-1.0,0.38125,1.525
7b,1000,0.1,0.3411764705882353,1.3647058823529412
1.1b,2000,-1.0,0.4444444444444444,1.7777777777777777
7b,1000,0.1,0.7857142857142857,3.142857142857143
1.1b,2000,-1.0,0.391025641025641,1.564102564102564
7b,1000,0.1,0.45422535211267606,1.8169014084507042
1.1b,2000,-1.0,0.30833333333333335,1.2333333333333334
7b,1000,0.1,0.5192307692307693,2.076923076923077
1.1b,2000,-1.0,0.43243243243243246,1.7297297297297298
7b,1000,0.1,0.5390625,2.15625
1.1b,2000,-1.0,0.32471264367816094,1.2988505747126438
7b,1000,0.1,0.3275862068965517,1.3103448275862069
1.1b,2000,-1.0,0.28763440860215056,1.1505376344086022
7b,1000,0.1,0.3313953488372093,1.3255813953488371
1.1b,2000,-1.0,0.3829113924050633,1.5316455696202531
7b,1000,0.1,0.29301075268817206,1.1720430107526882
1.1b,2000,-1.0,0.3411764705882353,1.3647058823529412
1.1b,2000,-1.0,0.5737704918032787,2.2950819672131146
7b,1000,0.1,0.4782608695652174,1.9130434782608696
1.1b,2000,-1.0,0.45422535211267606,1.8169014084507042
7b,1000,0.1,0.41118421052631576,1.644736842105263
1.1b,2000,-1.0,0.37037037037037035,1.4814814814814814
7b,1000,0.1,0.6727272727272727,2.690909090909091
1.1b,2000,-1.0,0.3411764705882353,1.3647058823529412
7b,1000,0.1,0.5111940298507462,2.044776119402985
1.1b,2000,-1.0,0.39935064935064934,1.5974025974025974
7b,1000,0.1,0.42905405405405406,1.7162162162162162
1.1b,2000,-1.0,0.40789473684210525,1.631578947368421
7b,1000,0.1,0.569672131147541,2.278688524590164
1.1b,2000,-1.0,0.4962686567164179,1.9850746268656716
7b,1000,0.1,0.5075757575757576,2.0303030303030303
1.1b,2000,-1.0,0.4090909090909091,1.6363636363636365
1.1b,2000,-1.0,0.4349315068493151,1.7397260273972603
7b,1000,0.1,0.4513888888888889,1.8055555555555556
1.1b,2000,-1.0,0.42905405405405406,1.7162162162162162
7b,1000,0.1,0.4714285714285714,1.8857142857142857
1.1b,2000,-1.0,0.4852941176470588,1.9411764705882353
7b,1000,0.1,0.3372093023255814,1.3488372093023255
1.1b,2000,-1.0,0.5685483870967742,2.274193548387097
1.1b,2000,-1.0,0.37037037037037035,1.4814814814814814
7b,1000,0.1,0.3765432098765432,1.5061728395061729
1.1b,2000,-1.0,0.5075757575757576,2.0303030303030303
7b,1000,0.1,0.5113636363636364,2.0454545454545454
1.1b,2000,-1.0,0.3628048780487805,1.451219512195122
7b,1000,0.1,0.5113636363636364,2.0454545454545454
1.1b,2000,-1.0,0.36728395061728397,1.4691358024691359
7b,1000,0.1,0.4583333333333333,1.8333333333333333
1.1b,2000,-1.0,0.3628048780487805,1.451219512195122
7b,1000,0.1,0.5390625,2.15625
1.1b,2000,-1.0,0.45422535211267606,1.8169014084507042
1.1b,2000,-1.0,0.29945054945054944,1.1978021978021978
1.1b,2000,-1.0,0.5604838709677419,2.2419354838709675
1.1b,2000,-1.0,0.28191489361702127,1.127659574468085
1.1b,2000,-1.0,0.42567567567567566,1.7027027027027026
1.1b,2000,-1.0,0.41118421052631576,1.644736842105263
1.1b,2000,-1.0,0.53515625,2.140625
1.1b,2000,-1.0,0.3829113924050633,1.5316455696202531
1.1b,2000,-1.0,0.6636363636363637,2.6545454545454548
1.1b,2000,-1.0,0.42,1.68
1.1b,2000,-1.0,0.38125,1.525
7b,2000,0.1,0.3597560975609756,1.4390243902439024
1.1b,2000,-1.0,0.3482142857142857,1.3928571428571428
1.1b,2000,-1.0,0.4444444444444444,1.7777777777777777
7b,2000,0.1,0.15,0.6
1.1b,2000,-1.0,0.35240963855421686,1.4096385542168675
1.1b,2000,-1.0,0.42905405405405406,1.7162162162162162
7b,2000,0.1,0.42333333333333334,1.6933333333333334
1.1b,2000,-1.0,0.42,1.68
7b,2000,0.1,0.4444444444444444,1.7777777777777777
1.1b,2000,-1.0,0.5819672131147541,2.3278688524590163
1.1b,2000,-1.0,0.5113636363636364,2.0454545454545454
7b,2000,0.1,0.12686567164179105,0.5074626865671642
1.1b,2000,-1.0,0.35240963855421686,1.4096385542168675
7b,2000,0.1,0.3313953488372093,1.3255813953488371
1.1b,2000,-1.0,0.4642857142857143,1.8571428571428572
1.1b,2000,-1.0,0.34411764705882353,1.3764705882352941
7b,2000,0.1,0.40789473684210525,1.631578947368421
1.1b,2000,-1.0,0.40789473684210525,1.631578947368421
7b,2000,0.1,0.3181818181818182,1.2727272727272727
1.1b,2000,-1.0,0.8722222222222222,3.488888888888889
1.1b,2000,-1.0,0.4714285714285714,1.8857142857142857
7b,2000,0.1,0.3829113924050633,1.5316455696202531
1.1b,2000,-1.0,0.4479166666666667,1.7916666666666667
7b,2000,0.1,0.22169811320754718,0.8867924528301887
1.1b,2000,-1.0,0.42333333333333334,1.6933333333333334
1.1b,2000,-1.0,0.3628048780487805,1.451219512195122
7b,2000,0.1,0.42105263157894735,1.6842105263157894
1.1b,2000,-1.0,0.5192307692307693,2.076923076923077
7b,2000,0.1,0.42567567567567566,1.7027027027027026
1.1b,2000,-1.0,0.39935064935064934,1.5974025974025974
1.1b,2000,-1.0,0.35119047619047616,1.4047619047619047
7b,2000,0.1,0.2261904761904762,0.9047619047619048
1.1b,2000,-1.0,0.39556962025316456,1.5822784810126582
7b,2000,0.1,0.391025641025641,1.564102564102564
1.1b,2000,-1.0,0.4144736842105263,1.6578947368421053
7b,2000,0.1,0.2575,1.03
1.1b,2000,-1.0,0.32303370786516855,1.2921348314606742
1.1b,2000,-1.0,0.3860759493670886,1.5443037974683544
7b,2000,0.1,0.2734375,1.09375
1.1b,2000,-1.0,0.35240963855421686,1.4096385542168675
1.1b,2000,-1.0,0.39556962025316456,1.5822784810126582
7b,2000,0.1,0.16666666666666666,0.6666666666666666
1.1b,2000,-1.0,0.36890243902439024,1.475609756097561
7b,2000,0.1,0.35542168674698793,1.4216867469879517
1.1b,2000,-1.0,0.4349315068493151,1.7397260273972603
7b,2000,0.1,0.39935064935064934,1.5974025974025974
1.1b,2000,-1.0,0.35,1.4
1.1b,2000,-1.0,0.4025974025974026,1.6103896103896105
7b,2000,0.1,0.23557692307692307,0.9423076923076923
1.1b,2000,-1.0,0.4642857142857143,1.8571428571428572
1.1b,2000,-1.0,0.4349315068493151,1.7397260273972603
7b,2000,0.1,0.21296296296296297,0.8518518518518519
1.1b,2000,-1.0,0.7303921568627451,2.9215686274509802
7b,2000,0.1,0.35542168674698793,1.4216867469879517
1.1b,2000,-1.0,0.5476190476190477,2.1904761904761907
1.1b,2000,-1.0,0.3860759493670886,1.5443037974683544
7b,2000,0.1,0.3146067415730337,1.2584269662921348
1.1b,2000,-1.0,0.3597560975609756,1.4390243902439024
7b,2000,0.1,0.3860759493670886,1.5443037974683544
1.1b,2000,-1.0,0.28763440860215056,1.1505376344086022
1.1b,2000,-1.0,0.4166666666666667,1.6666666666666667
7b,2000,0.1,0.14763779527559054,0.5905511811023622
1.1b,2000,-1.0,0.3765432098765432,1.5061728395061729
1.1b,2000,-1.0,0.5227272727272727,2.090909090909091
7b,2000,0.1,0.1437007874015748,0.5748031496062992
1.1b,2000,-1.0,0.45774647887323944,1.8309859154929577
7b,2000,0.1,0.4782608695652174,1.9130434782608696
1.1b,2000,-1.0,0.42333333333333334,1.6933333333333334
7b,2000,0.1,0.4444444444444444,1.7777777777777777
1.1b,2000,-1.0,0.3275862068965517,1.3103448275862069
1.1b,2000,-1.0,0.6,2.4
7b,2000,0.1,0.24504950495049505,0.9801980198019802
1.1b,2000,-1.0,0.19078947368421054,0.7631578947368421
7b,2000,0.1,0.2708333333333333,1.0833333333333333
1.1b,2000,-1.0,0.4479166666666667,1.7916666666666667
1.1b,2000,-1.0,0.36728395061728397,1.4691358024691359
7b,2000,0.1,0.3313953488372093,1.3255813953488371
1.1b,2000,-1.0,0.28763440860215056,1.1505376344086022
7b,2000,0.1,0.2708333333333333,1.0833333333333333
1.1b,2000,-1.0,0.3974358974358974,1.5897435897435896
7b,2000,0.1,0.34411764705882353,1.3764705882352941
1.1b,2000,-1.0,0.5916666666666667,2.3666666666666667
1.1b,2000,-1.0,0.40789473684210525,1.631578947368421
7b,2000,0.1,0.42905405405405406,1.7162162162162162
1.1b,2000,-1.0,0.3860759493670886,1.5443037974683544
1.1b,2000,-1.0,0.3313953488372093,1.3255813953488371
7b,2000,0.1,0.11496350364963503,0.45985401459854014
1.1b,2000,-1.0,0.40064102564102566,1.6025641025641026
7b,2000,0.1,0.49264705882352944,1.9705882352941178
1.1b,2000,-1.0,0.42,1.68
7b,2000,0.1,0.4349315068493151,1.7397260273972603
1.1b,2000,-1.0,0.3382352941176471,1.3529411764705883
7b,2000,0.1,0.5833333333333334,2.3333333333333335
1.1b,2000,-1.0,0.4479166666666667,1.7916666666666667
1.1b,2000,-1.0,0.29945054945054944,1.1978021978021978
7b,2000,0.1,0.1375968992248062,0.5503875968992248
1.1b,2000,-1.0,0.42,1.68
7b,2000,0.1,0.9186046511627907,3.6744186046511627
1.1b,2000,-1.0,0.3734567901234568,1.4938271604938271
1.1b,2000,-1.0,0.4444444444444444,1.7777777777777777
7b,2000,0.1,0.18859649122807018,0.7543859649122807
1.1b,2000,-1.0,0.378125,1.5125
7b,2000,0.1,0.3614457831325301,1.4457831325301205
1.1b,2000,-1.0,0.37037037037037035,1.4814814814814814
7b,2000,0.1,0.32471264367816094,1.2988505747126438
1.1b,2000,-1.0,0.3411764705882353,1.3647058823529412
7b,2000,0.1,0.41776315789473684,1.6710526315789473
1.1b,2000,-1.0,0.49264705882352944,1.9705882352941178
1.1b,2000,-1.0,0.3382352941176471,1.3529411764705883
7b,2000,0.1,0.25,1.0
1.1b,2000,-1.0,0.4782608695652174,1.9130434782608696
1.1b,2000,-1.0,0.4444444444444444,1.7777777777777777
7b,2000,0.1,0.3275862068965517,1.3103448275862069
1.1b,2000,-1.0,0.42567567567567566,1.7027027027027026
7b,2000,0.1,0.36728395061728397,1.4691358024691359
